Pos,ID,Name,Link,Year,Author,Notes,Source,Type,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp
19,79,Skóciában mászni,https://www.tumblr.com/girlkoris/180652969701/ha-barki-skociaban-kirandul-vagy-maszik,2018,deadmanride,272,Tumblr,text,34,67,1,50.75%,1,80,Rákos lettem a threadtől,H,,101,219,-17,46.12%,2,7,16,Kiszel Tünde naptár,P,66,169,-37,39.05%,2,4,66,Belekakkantottak,2023-03-24 22:00:00,
20,16,Kiszel Tünde naptár,https://www.tumblr.com/tumbliveleje/188049892009/mert-%C3%A9n-igen-m%C3%A9g-j%C3%B3-hogy-itt-vagyok-nektek?source=share&_branch_match_id=link-1160323503589688521,2018,ciganyolga,719,Tumblr,text,145,195,95,74.36%,2,15,Lush,A,,118,219,17,53.88%,1,1,79,Skóciában mászni,A,58,118,-2,49.15%,2,1,28,Lovas színház,2023-03-24 18:00:00,
21,39,Kisjószág,https://at.tumblr.com/tumbliveleje/instantfollow-lassukmiboolelunk/0a4x9ip56z96,2018,subdimension,3743,Tumblr,text,73,105,41,69.52%,1,40,Reklámelhelyezés,D,,118,150,86,78.67%,1,0,51,Sikermellény,A,,,0,0.00%,1,,13,40 ezret,2023-03-27 20:00:00,
22,71,Dinoszaurusz,https://www.tumblr.com/azazelm0rdant/89780380959/fi%C3%BAk-n%C3%A9ha-jobb-ha-nem-%C3%ADrtok,2014,mzsmckok,702,Tumblr,text,74,78,70,94.87%,1,72,Pénzkutya,C,,106,121,91,87.60%,1,0,53,Konditermi típusok,A,,,0,0.00%,2,,87,Kakithread,2023-03-27 16:00:00,
23,37,Kossuth utcák,https://at.tumblr.com/tumbliveleje/az-irrelev%C3%A1ns-k%C3%A9rd%C3%A9s-amire-megpr%C3%B3b%C3%A1ln%C3%A1m-keresni-a/564vr6vmkqhh,2019,sztivan/sztupy,950,Tumblr,text,78,99,57,78.79%,1,38,Covid vers,C,,96,159,33,60.38%,1,2,61,Te gepárd,A,,,0,0.00%,2,,35,Közmondás mémek,2023-03-27 18:00:00,
24,13,40 ezret,https://www.tumblr.com/tumbliveleje/187979358639/szakadgat-eddig-csin%C3%A1ltam-40ezret-20perc-alatt?source=share&_branch_match_id=link-1160322982845875744,2015,szakadgat,680,Tumblr,text,89,115,63,77.39%,1,14,Majdnem belefulladtam,C,,65,97,33,67.01%,1,0,17,Perszonál kontent,A,,,0,0.00%,2,,39,Kisjószág,2023-03-27 20:00:00,
25,87,Kakithread,https://www.tumblr.com/akurvaanyadatbuttersofficial/690057810563776512/n%C3%A9ha-mikor-ilyen-szar-napom-van-mint-a-mai-arra,2019,csillogopicsavillanto,997,Tumblr,thread,54,76,32,71.05%,1,88,Küldj képet,E,,58,103,13,56.31%,2,0,84,Posts reaching Hunbli,A,,,0,0.00%,1,,71,Dinoszaurusz,2023-03-27 16:00:00,
26,35,Közmondás mémek,https://at.tumblr.com/tumbliveleje/ok%C3%A9-a-magyar-kozmondas-memek-a-legjobb-dolog-ma-a/adwmohp0mo5l,2019,alleskapot,2727,Tumblr,thread,69,100,38,69.00%,1,36,We love Budapest cikk,D,,53,90,16,58.89%,1,0,58,Seggszombat,A,,,0,0.00%,1,,37,Kossuth utcák,2023-03-27 18:00:00,
27,7,Úgy megbasztuk beszart,https://www.tumblr.com/tumbliveleje/187979350039/%C3%BAgy-megbasztuk-beszart?source=share&_branch_match_id=link-1160219190653617797,2014,retisonic,1318,Tumblr,text,90,160,20,56.25%,1,8,Favágás,C,,117,250,-16,46.80%,1,4,90,Esküvő,XD,,,,,,,,,,
28,60,Kakis bikini,https://www.tumblr.com/sunyisarkirokakepu/124446833068/sunyi-a-jotevo,2015,sunyisarkirokakepu,363,Tumblr,text,61,81,41,75.31%,2,59,Apátok faszát,E,,79,197,-39,40.10%,2,1,23,Vágod faszim biztos nem,X,,,,,,,,,,
29,61,Te gepárd,https://www.tumblr.com/akurvaanyadatbuttersofficial/710441139319226368/fletchererwin-kissloofahs-reloaded,2022,lakotelepi-jamesdean,232,Tumblr,text,53,95,11,55.79%,1,62,Ayahusacafőzelék,F,,63,159,-33,39.62%,2,0,37,Kossuth utcák,X,,,,,,,,,,
