Pos,ID,Name,Link,Year,Author,Notes,Source,Type,Logo,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp,R4 points,R4 total,R4 Diff,R4 %,R4 Pos,R4 Sup,R4 EnId,R4 En,R4 Time,R4 Grp
13,33,Actimel,https://at.tumblr.com/tumbliveleje/kleine-problem/vkoe7vc7513a,2019,csorbade/flyingmelone,809,Tumblr,thread,🍼,86,106,66,81.13%,1,34,Egyrészt a kurva anyádat,C,,73,109,37,66.97%,1,1,76,Óra a Moszkván,A,110,192,28,57.29%,2,7,43,Tankcsapda mémek,2023-03-25 18:00:00,A,,,0,0.00%,1,,41,Tinky Winky,2023-04-01 16:00:00,
14,41,Tinky Winky,https://at.tumblr.com/tumbliveleje/azt-a-teletubbies-k%C3%A9pet-keresem/frldsd02fm4d,2014,mrbsny/akurvaanyadatbutters,5994,Facebook/Tumblr,international,🌞,136,184,88,73.91%,1,42,Szudáni roncs,A,,115,120,110,95.83%,1,2,70,Pénzcsipesz,A,121,180,62,67.22%,2,4,25,56-os nők,2023-03-26 18:00:00,A,,,0,0.00%,2,,33,Actimel,2023-04-01 16:00:00,
15,66,Belekakkantottak,https://otthonzulles.tumblr.com/post/185820930350/otthonzulles-j%C3%B3-hely-ez-30-%C3%A9ve-sem-j%C3%A1rok?fbclid=IwAR3h4H6UkRnw9KY8nj2zIdpCMgV1UAIkc6kFIh2RFvUhDwLN3anF7Q2VnNs,2019,magnesesseg,181,Facebook,text,💩,100,157,43,63.69%,2,65,Palacsintafityma,B,,63,97,29,64.95%,1,0,63,Krémespinát,A,103,169,37,60.95%,1,1,79,Skóciában mászni,2023-03-24 22:00:00,A,,,0,0.00%,1,,11,Faszfütyürű,2023-04-01 20:00:00,
16,11,Faszfütyürű,https://www.tumblr.com/tumbliveleje/187981483869/k%C3%A1ming%C3%A1ut?source=share&_branch_match_id=link-1160323168699680281,2015,kurtzcheimlany,17141,Tumblr,thread,🍊,101,119,83,84.87%,1,12,Popcorn,B,,100,126,74,79.37%,1,0,67,Földhözbaszott torta,A,180,363,-3,49.59%,1,4,1,Cingi a gekkó,2023-03-26 16:00:00,P,,,0,0.00%,2,,66,Belekakkantottak,2023-04-01 20:00:00,
17,23,Vágod faszim biztos nem,https://www.tumblr.com/tumbliveleje/188209543439/v%C3%A1god-faszim-biztos-nem?source=share&_branch_match_id=link-1160323589329651239,2019,teaszunet,765,Tumblr,thread,,74,92,56,80.43%,1,24,Bringát flexszel,D,,118,197,39,59.90%,1,1,60,Kakis bikini,A,85,174,-4,48.85%,1,0,90,Esküvő,2023-03-25 16:00:00,X,,,,,,,,,,
18,43,Tankcsapda mémek,https://at.tumblr.com/tumbliveleje/cicanaci-pitkin100-baddesting/1q1wd84dw22s,2015,vadnyugat,1891,Tumblr,thread,,72,96,48,75.00%,1,44,Pure Fucking Marketing,D,,60,94,26,63.83%,1,0,78,Lemásolt képek,A,82,192,-28,42.71%,1,1,33,Actimel,2023-03-25 18:00:00,X,,,,,,,,,,
19,32,Fotelthread,https://www.tumblr.com/tumbliveleje/189772263139/egyetlen-egy-dolog-biztos-a-szud%C3%A1ni-%C3%A1lpuccsban?source=share&_branch_match_id=link-1160322571359487910,2019,markoferko,825,Tumblr,text,,150,275,25,54.55%,2,31,Stabil ribancok,A,,79,114,44,69.30%,1,1,73,Goran Bregovic,A,66,218,-86,30.28%,2,2,9,Zoli bohóc,2023-03-26 20:00:00,X,,,,,,,,,,
20,25,56-os nők,https://www.tumblr.com/tumbliveleje/188525371724/sokszor-hajlamosak-vagyunk-megfeledkezni-r%C3%B3la?source=share&_branch_match_id=link-1160321531025294852,2016,ebbolmilesz/borzaskata,2606,Tumblr,text,,93,125,61,74.40%,1,26,Cicanevek,B,,76,127,25,59.84%,1,1,86,Rálépett egy migráns,A,59,180,-62,32.78%,1,2,41,Tinky Winky,2023-03-26 18:00:00,X,,,,,,,,,,
21,16,Kiszel Tünde naptár,https://www.tumblr.com/tumbliveleje/188049892009/mert-%C3%A9n-igen-m%C3%A9g-j%C3%B3-hogy-itt-vagyok-nektek?source=share&_branch_match_id=link-1160323503589688521,2018,ciganyolga,719,Tumblr,text,,145,195,95,74.36%,2,15,Lush,A,,118,219,17,53.88%,1,1,79,Skóciában mászni,A,58,118,-2,49.15%,2,1,28,Lovas színház,2023-03-24 18:00:00,X,,,,,,,,,,
22,13,40 ezret,https://www.tumblr.com/tumbliveleje/187979358639/szakadgat-eddig-csin%C3%A1ltam-40ezret-20perc-alatt?source=share&_branch_match_id=link-1160322982845875744,2015,szakadgat,680,Tumblr,text,,89,115,63,77.39%,1,14,Majdnem belefulladtam,C,,65,97,33,67.01%,1,0,17,Perszonál kontent,A,46,115,-23,40.00%,2,1,39,Kisjószág,2023-03-27 20:00:00,X,,,,,,,,,,
23,45,Hülyenévthread,https://at.tumblr.com/tumbliveleje/and-on-the-opposite-end-of-the/qlfzn5h9c802,2020,abszurdisztan,165297,Tumblr,thread,,57,88,26,64.77%,1,46,Filmcímek,E,,86,161,11,53.42%,2,0,29,Mozambik,A,45,99,-9,45.45%,1,0,47,90-es évek vidék,2023-03-25 20:00:00,X,,,,,,,,,,
24,5,Húsleves,https://www.tumblr.com/tumbliveleje/187981474359/adiika69-baratom-az-alkohol?source=share&_branch_match_id=link-1160217615696659895,2016,sutiverzum,22851,Tumblr,thread,,128,153,103,83.66%,1,6,Megyematrica,A,,57,93,21,61.29%,1,0,31,Stabil ribancok,A,45,149,-59,30.20%,2,2,21,IT kábelezés,2023-03-24 20:00:00,X,,,,,,,,,,
